i,encoding,dataset,selectivity,query_time
3,FOR,linear_200M_uint32.txt,0.05,1.23091
3,FOR,linear_200M_uint32.txt,0.1,1.23467
3,FOR,linear_200M_uint32.txt,1.0,1.26905
3,FOR,linear_200M_uint32.txt,10.0,1.88383
3,FOR,books_200M_uint32.txt,0.001,0.919788
3,FOR,books_200M_uint32.txt,0.01,1.04483
3,FOR,books_200M_uint32.txt,0.05,1.08694
3,FOR,books_200M_uint32.txt,0.1,1.08423
3,FOR,books_200M_uint32.txt,1.0,1.13119
3,FOR,books_200M_uint32.txt,10.0,1.78045
4,LECO,normal_200M_uint32.txt,0.001,0.709714
4,LECO,normal_200M_uint32.txt,0.01,0.852554
4,LECO,normal_200M_uint32.txt,0.05,0.872561
4,LECO,normal_200M_uint32.txt,0.1,0.865329
4,LECO,normal_200M_uint32.txt,1.0,0.9234
4,LECO,normal_200M_uint32.txt,10.0,1.66097
4,LECO,linear_200M_uint32.txt,0.001,0.709657
4,LECO,linear_200M_uint32.txt,0.01,0.853208
4,LECO,linear_200M_uint32.txt,0.05,0.885881
4,LECO,linear_200M_uint32.txt,0.1,0.876341
4,LECO,linear_200M_uint32.txt,1.0,0.905755
4,LECO,linear_200M_uint32.txt,10.0,1.64536
4,LECO,books_200M_uint32.txt,0.001,0.861908
4,LECO,books_200M_uint32.txt,0.01,1.00848
4,LECO,books_200M_uint32.txt,0.05,1.05023
4,LECO,books_200M_uint32.txt,0.1,1.03879
4,LECO,books_200M_uint32.txt,1.0,1.07499
4,LECO,books_200M_uint32.txt,10.0,1.81649
4,PLAIN,normal_200M_uint32.txt,0.001,1.25497
4,PLAIN,normal_200M_uint32.txt,0.01,1.64011
4,PLAIN,normal_200M_uint32.txt,0.05,1.72891
4,PLAIN,normal_200M_uint32.txt,0.1,1.71665
4,PLAIN,normal_200M_uint32.txt,1.0,1.72858
4,PLAIN,normal_200M_uint32.txt,10.0,2.33044
4,PLAIN,linear_200M_uint32.txt,0.001,1.27311
4,PLAIN,linear_200M_uint32.txt,0.01,1.64415
4,PLAIN,linear_200M_uint32.txt,0.05,1.72672
4,PLAIN,linear_200M_uint32.txt,0.1,1.72577
4,PLAIN,linear_200M_uint32.txt,1.0,1.75851
4,PLAIN,linear_200M_uint32.txt,10.0,2.3245
4,PLAIN,books_200M_uint32.txt,0.001,1.3569
4,PLAIN,books_200M_uint32.txt,0.01,1.66309
4,PLAIN,books_200M_uint32.txt,0.05,1.72969
4,PLAIN,books_200M_uint32.txt,0.1,1.6855
4,PLAIN,books_200M_uint32.txt,1.0,1.74916
4,PLAIN,books_200M_uint32.txt,10.0,2.31697
4,FOR,normal_200M_uint32.txt,0.001,0.923051
4,FOR,normal_200M_uint32.txt,0.01,1.14544
4,FOR,normal_200M_uint32.txt,0.05,1.18327
4,FOR,normal_200M_uint32.txt,0.1,1.17631
4,FOR,normal_200M_uint32.txt,1.0,1.21252
4,FOR,normal_200M_uint32.txt,10.0,1.83524
4,FOR,linear_200M_uint32.txt,0.001,0.949906
4,FOR,linear_200M_uint32.txt,0.01,1.16471
4,FOR,linear_200M_uint32.txt,0.05,1.23535
4,FOR,linear_200M_uint32.txt,0.1,1.23071
4,FOR,linear_200M_uint32.txt,1.0,1.24648
4,FOR,linear_200M_uint32.txt,10.0,1.87296
4,FOR,books_200M_uint32.txt,0.001,0.88507
4,FOR,books_200M_uint32.txt,0.01,1.04769
4,FOR,books_200M_uint32.txt,0.05,1.08479
4,FOR,books_200M_uint32.txt,0.1,1.08806
4,FOR,books_200M_uint32.txt,1.0,1.12144
4,FOR,books_200M_uint32.txt,10.0,1.77537
